v1.1,Tue Jul 28 11:42:05 AM UTC 2026,Apontamentos,Otimização de layout mobile dos cards,Otimizar layout mobile das colunas do card,Sucesso
v1.2,Tue Jul 28 12:00:34 PM UTC 2026,Painel Geral,Otimização mobile - layout e gravatas de observação/finalização,Implementar regra de gravata (ribbons) amarela/vermelha para mensagens, data no topo e reorganizar campos,Sucesso
v1.3,Tue Jul 28 12:16:51 PM UTC 2026,Apontamentos,Ajuste das gravatas e unificação dos dados entre mobile e desktop,Implementar as gravatas no topo da primeira coluna (desktop e mobile), unificar a exibição da data no topo e substituir os ícones de cartas pelo TIPO,Sucesso
v1.4,Tue Jul 28 12:20:07 PM UTC 2026,Apontamentos,Ajuste das gravatas (remover perninha e alinhar topo),Remover o triângulo que criava o efeito de dobra externa e alinhar o topo corretamente no mobile/desktop,Sucesso
v1.5,Tue Jul 28 12:21:26 PM UTC 2026,Apontamentos,Redimensionamento dos selos/gravatas de observação e finalização,Ajustar a largura para w-5, ícone tamanho 9px e tipografia 9px com leading-none para um aspecto mais delicado e compacto,Sucesso
v1.6,Tue Jul 28 12:34:59 PM UTC 2026,Apontamentos,Remoção do ícone de carta e refinamento das gravatas,Remover ícone Mail e ajustar largura das gravatas para w-3.5 de forma ultrafina e delicada,Sucesso
v1.7,Tue Jul 28 12:37:08 PM UTC 2026,Apontamentos,Ajuste visual no rótulo TIPO e quebra de linha da Operação,Remoção do rótulo 'TIPO' e remoção do truncate na Operação Atribuída permitindo quebra de linha fluida,Sucesso
v1.8,Tue Jul 28 12:39:02 PM UTC 2026,Apontamentos,Ajuste no topo do card - data e status,Substituir o texto 'DATA DO PROCESSO' pela própria data e posicionar o selo de status (ANDAMENTO/ENCERRADO) no lado direito no lugar da data,Sucesso
v1.9,Tue Jul 28 12:41:44 PM UTC 2026,Apontamentos,Remoção de borda colorida e separação de gravatas no mobile e cartinhas no desktop,Remover borda amarela/vermelha dos cards (manter verde padrão), exibir os badges/gravatas exclusivas na versão mobile (md:hidden) e retornar com os selos de cartinha (+Obs/+Fin com ícone Mail) na versão desktop,Sucesso
v2.0,Tue Jul 28 12:49:31 PM UTC 2026,StatusMaquinas,Quebra de texto em mobile na tabela de status de máquinas,Adicionar max-md:whitespace-normal max-md:break-words nas células da tabela de telemetria de status de máquinas apenas para viewport mobile,Sucesso
v2.1,Tue Jul 28 12:55:31 PM UTC 2026,StatusMaquinas,Alinhamento dos botões de filtro de status ao container,Ajustar os botões de filtro rápido para ocupar a largura total do container (grid grid-cols-2 sm:grid-cols-4 w-full) e alinhar com as margens de Controle de Máquinas,Sucesso
v2.2,Tue Jul 28 01:15:20 PM UTC 2026,ScannerCaixas,Refatoração do Modal Cenário A para Layout Mobile Compacto,Reestruturar o modal do Cenário A com display bar travado, grid de 2 colunas para Lote/Lado, regime de HE compacto e botões h-14 de alto impacto ao toque,Sucesso
v2.3,Tue Jul 28 01:33:35 PM UTC 2026,ScannerCaixas,Confirmação Individual de Campos e Trava de Rolagem de Fundo,Implementar confirmações individuais para Lote e Lado e trava de rolagem no body quando modais estiverem abertos,Sucesso
v2.4,Tue Jul 28 01:58:00 PM UTC 2026,ScannerCaixas,Filtragem Dinâmica de Operações por Tipo de Máquina,Buscar maquinas_operacoes_compativeis da view Supabase AtlasApontamento e filtrar em tempo real as operações no Autocomplete usando useMemo baseado no formTipoMaquina,Sucesso
v2.5,Wed Jul 29 03:27:45 PM UTC 2026,Apontamentos,Layout 2x3 dos cards no mobile (Qualidade e Produção Atual lado a lado e Matéria-Prima abaixo),Configurar grid com grid-cols-2 md:grid-cols-3 e col-span-2 no card de Matéria-Prima para layout 2x1 no mobile mantendo 3 colunas no desktop,Sucesso
v2.6,Wed Jul 29 11:11:24 AM UTC 2026,Apontamentos,Refatoração do Sub-Card para Opção 5 e divisão de métricas de Retrabalho,Implementar Layout 5 (alto contraste e grid compacto) e separar Retrabalho Próprio/Terceiro no Boletim de Qualidade,Sucesso
v2.7,Wed Jul 29 11:19:26 AM UTC 2026,Apontamentos,Numeração de subregistros e destaque para horário,Adicionar numeração e destacar horário em um pill acima da grid técnica de forma proeminente,Sucesso
v2.8,Wed Jul 29 11:53:00 AM UTC 2026,Apontamentos,Consolidate Top 3 Global Block Metrics Into a Single Option 4 Grid Card,Replace the three separate vertically-stacked/mismatched containers with a single cohesive Option 4 dashboard card,Sucesso
v2.9,Wed Jul 29 07:11:00 AM UTC 2026,Apontamentos,Refinamento da Opção 1 - Accordion Header,Replace the accordion header button with the new Opção 1 card layout requested by the user,Sucesso
v3.0,Wed Jul 29 08:12:00 AM UTC 2026,Apontamentos,Refatorar card fechado para restaurar identidade verde e reorganizar cabeçalhos,Restaurar fundo verde-esmeralda, remover tipo de máquina da coluna central, adicionar selos ENCERRADO/ANDAMENTO no topo direito e redimensionar fontes,Sucesso
v3.1,Wed Jul 29 08:17:30 AM UTC 2026,Apontamentos,Aumentar espacamento card e mover badge transporte e notificações para fora,Aumentado padding do card para p-5 space-y-4 e movido badge de processo (transporte) para flex-justify-between,Sucesso
v3.2,Wed Jul 29 08:18:15 AM UTC 2026,Apontamentos,Posicionar ícones de notificação no topo e alinhar span de processo,Ajustado posicionamento absoluto das notificações para absolute top-0 right-0 e aplicado padding pt-7 no card,Sucesso
v3.3,Wed Jul 29 08:24:00 AM UTC 2026,Apontamentos,Separar chevron e alertas de notificacao apenas no mobile,Restaurou chevron ao topo direita e colocou alertas acima do conteudo no mobile,Sucesso
v3.4,Wed Jul 29 09:36:00 AM UTC 2026,Apontamentos,Substituir icones de notificacao por pontos piscantes,Removeu icones de carta e padding mobile e adicionou pontos piscantes (animate-ping) relativos ao span de operacao (tipo de maquina),Sucesso
v3.5,Wed Jul 29 09:38:00 AM UTC 2026,Apontamentos,Remover pontos piscantes e restaurar icones de carta,Removeu os pontos piscantes e reinseriu os badges de carta acima do container MÁQ: 1,Sucesso
v3.6,Wed Jul 29 09:53:00 AM UTC 2026,ScannerCaixas,Agrupar confirmacao de Lote e Lado em um unico botao,Modificou a estrutura de Lote e Lado para div flex gap-2 items-end com Lote e Lado dividindo a tela flex-1 e apenas 1 botao unificado acionando os dois states simultaneamente.,Sucesso
v3.7,Wed Jul 29 11:21:00 AM UTC 2026,Apontamentos,Ajustar spans de maquina e status no mobile,Diminuido font-size dos spans para text-[10px]/text-[9px] no mobile com padding menor e adicao de whitespace-normal para permitir quebra de linha no status de andamento,Sucesso
v3.8,Wed Jul 29 11:33:00 AM UTC 2026,Apontamentos,Diminuir tamanho do span no mobile e permitir quebra,Reduzido tamanho da fonte do status para text-[7.5px] no mobile com flex-start para acomodar quebra de linha natural.,Sucesso
